,Classifier,FeatureExtractor,acc,avgprec,classifierfamily,log_loss,precisionscore,recallscore
872,RandomForestClassifier_1,VGG16,0.911419887104,0.95541564378,RandomForestClassifier,0.43153659126,0.911419887104,0.911419887104
143,RandomForestClassifier_1,VGG19,0.909683022145,0.945972831911,RandomForestClassifier,0.433038227528,0.909683022145,0.909683022145
899,RandomForestClassifier_1,VGG19,0.909248805905,0.952254354238,RandomForestClassifier,0.435214990259,0.909248805905,0.909248805905
883,RandomForestClassifier_1,ResNet50,0.910985670864,0.96246979807,RandomForestClassifier,0.437139256082,0.910985670864,0.910985670864
142,RandomForestClassifier_0,VGG19,0.907077724707,0.945844723847,RandomForestClassifier,0.438476134676,0.907077724707,0.907077724707
882,RandomForestClassifier_0,ResNet50,0.910117238385,0.962160249012,RandomForestClassifier,0.439053438824,0.910117238385,0.910117238385
898,RandomForestClassifier_0,VGG19,0.904472427269,0.957247660854,RandomForestClassifier,0.439516502291,0.904472427269,0.904472427269
235,RandomForestClassifier_1,ResNet50,0.907511940947,0.954724802625,RandomForestClassifier,0.44338582175,0.907511940947,0.907511940947
739,RandomForestClassifier_1,ResNet50,0.910117238385,0.956900551896,RandomForestClassifier,0.443515037057,0.910117238385,0.910117238385
126,RandomForestClassifier_0,ResNet50,0.906209292228,0.947880051175,RandomForestClassifier,0.443910665108,0.906209292228,0.906209292228
80,RandomForestClassifier_1,VGG16,0.903603994789,0.950748088112,RandomForestClassifier,0.444955145104,0.903603994789,0.903603994789
754,RandomForestClassifier_0,VGG19,0.901432913591,0.951733635593,RandomForestClassifier,0.445028548078,0.901432913591,0.901432913591
127,RandomForestClassifier_1,ResNet50,0.907077724707,0.943226271123,RandomForestClassifier,0.445487688722,0.907077724707,0.907077724707
719,RandomForestClassifier_1,VGG19,0.907077724707,0.940849335335,RandomForestClassifier,0.445694040786,0.907077724707,0.907077724707
738,RandomForestClassifier_0,ResNet50,0.906209292228,0.956923016362,RandomForestClassifier,0.445924407608,0.906209292228,0.906209292228
718,RandomForestClassifier_0,VGG19,0.907077724707,0.946274641374,RandomForestClassifier,0.446780239109,0.907077724707,0.907077724707
234,RandomForestClassifier_0,ResNet50,0.904906643508,0.953447533991,RandomForestClassifier,0.446877182181,0.904906643508,0.904906643508
250,RandomForestClassifier_0,VGG19,0.900130264872,0.944691050606,RandomForestClassifier,0.44696216716,0.900130264872,0.900130264872
116,RandomForestClassifier_1,VGG16,0.914025184542,0.943061731981,RandomForestClassifier,0.44717963922,0.914025184542,0.914025184542
702,RandomForestClassifier_0,ResNet50,0.909683022145,0.952612318541,RandomForestClassifier,0.448999792506,0.909683022145,0.909683022145
631,RandomForestClassifier_1,ResNet50,0.899696048632,0.95135364755,RandomForestClassifier,0.449104589973,0.899696048632,0.899696048632
523,RandomForestClassifier_1,ResNet50,0.904472427269,0.950054592192,RandomForestClassifier,0.449246164578,0.904472427269,0.904472427269
703,RandomForestClassifier_1,ResNet50,0.909683022145,0.947825872602,RandomForestClassifier,0.449338691742,0.909683022145,0.909683022145
522,RandomForestClassifier_0,ResNet50,0.905340859748,0.951688157681,RandomForestClassifier,0.449643246169,0.905340859748,0.905340859748
630,RandomForestClassifier_0,ResNet50,0.898827616153,0.949723333423,RandomForestClassifier,0.451411772343,0.898827616153,0.898827616153
692,RandomForestClassifier_1,VGG16,0.912722535823,0.941694132113,RandomForestClassifier,0.451679857502,0.912722535823,0.912722535823
307,RandomForestClassifier_1,ResNet50,0.90230134607,0.961762717843,RandomForestClassifier,0.452093271715,0.90230134607,0.90230134607
647,RandomForestClassifier_1,VGG19,0.899696048632,0.938541896442,RandomForestClassifier,0.452765975085,0.899696048632,0.899696048632
179,RandomForestClassifier_1,VGG19,0.895353886235,0.943703982923,RandomForestClassifier,0.45293817303,0.895353886235,0.895353886235
